Publication Type;Authors;Author Full Names;Article Title;Source Title;Abstract;ORCIDs;ISSN;eISSN;Publication Date;Publication Year;Volume;Issue;Start Page;End Page;Article Number;DOI;DOI Link;Number of Pages npx supabase gen types typescript --project-id vgnteswwvallupuanfiz > lib/database.types.ts
J;"Czaja, SJ; Ceruso, M";"Czaja, Sara J.; Ceruso, Marco";The Promise of Artificial Intelligence in Supporting an Aging Population;JOURNAL OF COGNITIVE ENGINEERING AND DECISION MAKING;"The aging of the population is a great achievement but also poses challenges for society, families, and older adults. Because of age-related changes in abilities, many older adults encounter difficulties that threaten independence and well-being. Further, the likelihood of developing a disability or a chronic condition increases with age. Currently, family members provide a significant source of support for older adults. However, changes in family and social structures raises questions regarding how care will be provided to future cohorts of older adults. There is clearly a need for innovative strategies to address care needs of future generations of aging individuals. Artificial Intelligence (AI) applications hold promise in terms of providing support for older adults. For example, applications are available that can track and monitor vital signs, health indicators, and cognition; or provide support for everyday activities. This paper highlights, with examples, the potential role of AI in providing support for aging adults to enhance independent living and the quality of life for both older adults and families. Challenges associated with the implementation of AI applications are also discussed and recommendations for needed research are highlighted.";;1555-3434;2169-5032;DEC;2022;16;4;182;193;;10.1177/15553434221129914;http://dx.doi.org/10.1177/15553434221129914;
J;"Abadir, P; Oh, E; Chellappa, R; Choudhry, N; Demiris, G; Ganesan, D; Karlawish, J; Marlin, B; Li, RM; Dehak, N; Arbaje, A; Unberath, M; Cudjoe, T; Chute, C; Moore, JH; Phan, P; Samus, Q; Schoenborn, NL; Battle, A; Walston, JD";"Abadir, Peter; Oh, Esther; Chellappa, Rama; Choudhry, Niteesh; Demiris, George; Ganesan, Deepak; Karlawish, Jason; Marlin, Benjamin; Li, Rose M.; Dehak, Najim; Arbaje, Alicia; Unberath, Mathias; Cudjoe, Thomas; Chute, Christopher; Moore, Jason H.; Phan, Phillip; Samus, Quincy; Schoenborn, Nancy L.; Battle, Alexis; Walston, Jeremy D.";Artificial Intelligence and Technology Collaboratories: Innovating aging research and Alzheimer's care;ALZHEIMERS & DEMENTIA;This perspective outlines the Artificial Intelligence and Technology Collaboratories (AITC) at Johns Hopkins University, University of Pennsylvania, and University of Massachusetts, highlighting their roles in developing AI-based technologies for older adult care, particularly targeting Alzheimer's disease (AD). These National Institute on Aging (NIA) centers foster collaboration among clinicians, gerontologists, ethicists, business professionals, and engineers to create AI solutions. Key activities include identifying technology needs, stakeholder engagement, training, mentoring, data integration, and navigating ethical challenges. The objective is to apply these innovations effectively in real-world scenarios, including in rural settings. In addition, the AITC focuses on developing best practices for AI application in the care of older adults, facilitating pilot studies, and addressing ethical concerns related to technology development for older adults with cognitive impairment, with the ultimate aim of improving the lives of older adults and their caregivers.;Marlin, Benjamin/0000-0002-2626-3410;1552-5260;1552-5279;APR;2024;20;4;3074;3079;;10.1002/alz.13710;http://dx.doi.org/10.1002/alz.13710;
J;"Liu, XJ; Chau, KY; Zheng, JX; Deng, DN; Tang, YM";"Liu, Xiaojun; Chau, Ka Yin; Zheng, Junxiong; Deng, Dongni; Tang, Yuk Ming";Artificial intelligence approach for detecting and classifying abnormal behaviour in older adults using wearable sensors;JOURNAL OF REHABILITATION AND ASSISTIVE TECHNOLOGIES ENGINEERING;The global population of older adults has increased, leading to a rising number of older adults in nursing homes without adequate care. This study proposes a smart wearable device for detecting and classifying abnormal behaviour in older adults in nursing homes. The device utilizes artificial intelligence technology to detect abnormal movements through behavioural data collection and target positioning. The intelligent recognition system and hardware sensors were tested using cloud computing and wireless sensor networks (WSNs), comparing their performance with other technologies through simulations. A triple-axis acceleration sensor collected motion behaviour data, and Zigbee enabled the wireless transfer of the sensor data. The Backpropagation (BP) neural network detected and classified abnormal behaviour based on simulated sensor data. The proposed smart wearable device offers indoor positioning, detection, and classification of abnormal behaviour. The embedded intelligent system detects routine motions like walking and abnormal behaviours such as falls. In emergencies, the system alerts healthcare workers for immediate safety measures. This study lays the groundwork for future AI-based technology implementation in nursing homes, advancing care for older adults.;"Tang, Yuk Ming/0000-0001-8215-4190; Chau, Ka Yin/0000-0002-0381-8401";2055-6683;;SEP;2024;11;;;;2,05567E+16;10.1177/20556683241288459;http://dx.doi.org/10.1177/20556683241288459;
J;"Wong, DC; O'Connor, S; Stanmore, E";"Wong, David C.; O'Connor, Siobhan; Stanmore, Emma";The Application of Artificial Intelligence in Digital Physical Activity and Falls Prevention Interventions for Older Adults;JOURNAL OF AGING AND PHYSICAL ACTIVITY;This article discusses the practical applications of artificial intelligence in digital physical activity and falls prevention interventions for older adults. It notes the range of technologies that can be used to collect digital datasets on older adult health and how machine learning algorithms can be applied to these to improve our understanding of physical activity and falls. In particular, these advanced computational techniques could help personalize exercises, feedback, and notifications to older people, improve adherence to and reduce attrition from digital health interventions, and enhance monitoring by providing predictive analytics on the physiological and environmental conditions that contribute to physical activity and falls in aging populations.;"Wong, David/0000-0001-8117-9193; O'Connor, Siobhan/0000-0001-8579-1718; Stanmore, Emma/0000-0002-4522-5292";1063-8652;1543-267X;OCT;2023;31;5;887;889;;10.1123/japa.2022-0376;http://dx.doi.org/10.1123/japa.2022-0376;
J;"Enam, MDA; Murmu, C; Dixon, E";"Enam, M. D. Atik; Murmu, Chandni; Dixon, Emma";Artificial Intelligence - Carrying us into the Future: A Study of Older Adults' Perceptions of LLM-Based Chatbots;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;With the integration of generative Artificial Intelligence (AI) tools in our society, and past research demonstrating ageism embedded in existing AI tools, there is a pressing need to understand the perceptions and adoption factors of older adults towards generative AI tools to inform future research and development of age inclusive AI tools. Through 20 contextual interviews with older adults, we investigated participants' perceptions towards OpenAI's ChatGPT, a Large Language Model (LLM)-based chatbot. Findings from this study uncover participants' folk theories, their comparison of LLM-based chatbots to search engines, their perspectives on common applications of chatbots for older adults, and the factors that influence their adoption of LLM-based chatbots. Taken together, this work lays the groundwork for future research and development of LLM-based chatbots that consider age inclusivity, taking a step towards addressing AI ageism.;;1044-7318;1532-7590;2025 MAR 21;2025;;;;;;10.1080/10447318.2025.2476710;http://dx.doi.org/10.1080/10447318.2025.2476710;
J;"Lin, KC; Wai, RJ";"Lin, Kai-Chih; Wai, Rong-Jong";A Feasible Fall Evaluation System via Artificial Intelligence Gesture Detection of Gait and Balance for Sub-Healthy Community- Dwelling Older Adults in Taiwan;IEEE ACCESS;In Taiwan, falls are one of the major causes of permanent disability and seeking medical care in older adults. One in seven people in the Taiwanese population exceeds the age of 65 years, and there are roughly 4 million community-dwelling older adults. One in six older adults have fallen or been diagnosed with Sarcopenia, which can lead to a loss of mobility. The major identified risk factors are impaired balance and gait. Implementing an early-stage prevention system is already an urgent requirement. The primary objective of this study is to propose an artificial intelligence (AI) Internet of Things (IoT) program and to develop an easy-access fall prevention system. This study took the criteria of the Asian Working Group for Sarcopenia (AWGS) and implemented it in field practice. Field experts reviewed data from the combination of gait parameters and gesture parameters and adaptively modified the training course bi-weekly. With 3 months of field practice and intervention, sub-healthy older adults' average increase in gait speed was 29.83% for male participants and 34.06% for female participants. The results of this study demonstrate that rehabilitation of older adults can significantly improve mobility. This helps to understand the relationship of gait and gesture patterns to walking stability and strategies and adaptive interventions that could be taught in expertise programs to minimize the risk of fall.;;2169-3536;;;2021;9;;146404;146413;;10.1109/ACCESS.2021.3123297;http://dx.doi.org/10.1109/ACCESS.2021.3123297;
J;"Gudala, M; Ross, MET; Mogalla, S; Lyons, M; Ramaswamy, P; Roberts, K";"Gudala, Meghana; Ross, Mary Ellen Trail; Mogalla, Sunitha; Lyons, Mandi; Ramaswamy, Padmavathy; Roberts, Kirk";Benefits of, Barriers to, and Needs for an Artificial Intelligence-Powered Medication Information Voice Chatbot for Older Adults: Interview Study With Geriatrics Experts;JMIR AGING;Background: One of the most complicated medical needs of older adults is managing their complex medication regimens. However, the use of technology to aid older adults in this endeavor is impeded by the fact that their technological capabilities are lower than those of much of the rest of the population. What is needed to help manage medications is a technology that seamlessly integrates within their comfort levels, such as artificial intelligence agents. Objective: This study aimed to assess the benefits, barriers, and information needs that can be provided by an artificial intelligence-powered medication information voice chatbot for older adults. Methods: A total of 8 semistructured interviews were conducted with geriatrics experts. All interviews were audio-recorded and transcribed. Each interview was coded by 2 investigators (2 among ML, PR, METR, and KR) using a semiopen coding method for qualitative analysis, and reconciliation was performed by a third investigator. All codes were organized into the benefit/nonbenefit, barrier/nonbarrier, and need categories. Iterative recoding and member checking were performed until convergence was reached for all interviews. Results: The greatest benefits of a medication information voice-based chatbot would be helping to overcome the vision and dexterity hurdles experienced by most older adults, as it uses voice-based technology. It also helps to increase older adults' medication knowledge and adherence and supports their overall health. The main barriers were technology familiarity and cost, especially in lower socioeconomic older adults, as well as security and privacy concerns. It was noted however that technology familiarity was not an insurmountable barrier for older adults aged 65 to 75 years, who mostly owned smartphones, whereas older adults aged >75 years may have never been major users of technology in the first place. The most important needs were to be usable, to help patients with reminders, and to provide information on medication side effects and use instructions. Conclusions: Our needs analysis results derived from expert interviews clarify that a voice-based chatbot could be beneficial in improving adherence and overall health if it is built to serve the many medication information needs of older adults, such as reminders and instructions. However, the chatbot must be usable and affordable for its widespread use.;"Roberts, Kirk/0000-0001-6525-5213; Lyons, Mandi/0000-0001-9948-0320; Mogalla, Sunitha/0000-0002-7546-7217; Ramaswamy, Padmavathy/0000-0001-8392-0117";;2561-7605;APR-JUN;2022;5;2;;;e32169;10.2196/32169;http://dx.doi.org/10.2196/32169;
J;"D�az-Guerra, DD; Hern�ndez-Lugo, MD; Broche-P�rez, Y; Ramos-Galarza, C; Iglesias-Serrano, E; Fern�ndez-Fleites, Z";"Diaz-Guerra, Diego D.; Hernandez-Lugo, Marena de la C.; Broche-Perez, Yunier; Ramos-Galarza, Carlos; Iglesias-Serrano, Ernesto; Fernandez-Fleites, Zoylen";AI-assisted neurocognitive assessment protocol for older adults with psychiatric disorders;FRONTIERS IN PSYCHIATRY;Introduction Evaluating neurocognitive functions and diagnosing psychiatric disorders in older adults is challenging due to the complexity of symptoms and individual differences. An innovative approach that combines the accuracy of artificial intelligence (AI) with the depth of neuropsychological assessments is needed. Objectives This paper presents a novel protocol for AI-assisted neurocognitive assessment aimed at addressing the cognitive, emotional, and functional dimensions of older adults with psychiatric disorders. It also explores potential compensatory mechanisms. Methodology The proposed protocol incorporates a comprehensive, personalized approach to neurocognitive evaluation. It integrates a series of standardized and validated psychometric tests with individualized interpretation tailored to the patient's specific conditions. The protocol utilizes AI to enhance diagnostic accuracy by analyzing data from these tests and supplementing observations made by researchers. Anticipated results The AI-assisted protocol offers several advantages, including a thorough and customized evaluation of neurocognitive functions. It employs machine learning algorithms to analyze test results, generating an individualized neurocognitive profile that highlights patterns and trends useful for clinical decision-making. The integration of AI allows for a deeper understanding of the patient's cognitive and emotional state, as well as potential compensatory strategies. Conclusions By integrating AI with neuro-psychological evaluation, this protocol aims to significantly improve the quality of neurocognitive assessments. It provides a more precise and individualized analysis, which has the potential to enhance clinical decision-making and overall patient care for older adults with psychiatric disorders.;Diaz-Guerra, Diego D./0000-0001-5169-838X;1664-0640;;JAN 13;2025;15;;;;1516065;10.3389/fpsyt.2024.1516065;http://dx.doi.org/10.3389/fpsyt.2024.1516065;
J;"Satoh, M; Inoue, J; Ogawa, J; Tabei, K; Kamikawa, C; Abe, M; Yoshizawa, A; Kitagawa, G; Ota, Y";"Satoh, Masayuki; Inoue, Jun; Ogawa, Jun-ichi; Tabei, Ken-ichi; Kamikawa, Chiaki; Abe, Makiko; Yoshizawa, Ayaka; Kitagawa, Gyo; Ota, Yosinori";Transforming text to music using artificial intelligence improves the frontal lobe function of normal older adults;BRAIN AND BEHAVIOR;"Introduction Recent advances in artificial intelligence (AI) have been substantial. We investigated the effectiveness of an online meeting in which normal older adults (otokai) used a music-generative AI that transforms text to music (Music Trinity Generative Algorithm-Human Refined [MusicTGA-HR]). Methods One hundred eighteen community-dwelling, cognitively normal older adults were recruited through the internet (64 men, 54 women; mean age: 69.4 +/- 4.4 years). Using MusicTGA-HR, the participants chose music that they thought was the most suitable to a given theme. We established 11 classes of 7-10 members and one instructor each. Each class held an online meeting once a week, and each participant presented the music they chose. The other participants and the instructor then commented on the music. Neuropsychological assessments were performed before and after the intervention for 6 months, and the results before and after the intervention were statistically analyzed. Results The category and letter word fluencies (WFs) were significantly improved (category WF: p = .003; letter WF: p = .036), and the time of the Trail-Making Test-B was also significantly shortened (p = .039). The Brain Assessment, an online cognitive test we developed, showed significant improvement in the memory of numbers (p < .001). Conclusion The online meeting of the otokai, which used music-generative AI, improved the frontal lobe function and memory of independent normal older adults.";;2162-3279;;SEP;2024;14;9;;;e70007;10.1002/brb3.70007;http://dx.doi.org/10.1002/brb3.70007;
J;"Largent, EA; Kim, Y; Karlawish, J; Wexler, A";"Largent, Emily A.; Kim, Yungjee; Karlawish, Jason; Wexler, Anna";Ethics From the Outset: Incorporating Ethical Considerations into the Artificial Intelligence and Technology Collaboratories for Aging Research Pilot Projects;JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES;There is an urgent need to develop tools to enable older adults to live healthy, independent lives for as long as possible. To address this need, the National Institute on Aging (NIA) Artificial Intelligence and Technology Collaboratories (AITCs) for Aging Research were created to identify, develop, evaluate, commercialize, and disseminate innovative technologies and artificial intelligence (AI) methods to promote healthy aging and to support persons with Alzheimer's disease and Alzheimer's disease-related dementias (AD/ADRD). In 2023, AITC pilot grant applicants were required to answer questions about how, if at all, they would safeguard older adults' data privacy and confidentiality, advance health equity, address bias, and protect vulnerable participants. Our team analyzed applicants' answers to these ethics-focused questions using a constructivist grounded theory approach. In this article, we present what we learned and discuss modifications to our approach moving forward.;"Largent, Emily/0000-0002-7536-5077; Wexler, Anna/0000-0002-6723-9038";1079-5006;1758-535X;JUN;2025;80;6;;;glaf035;10.1093/gerona/glaf035;http://dx.doi.org/10.1093/gerona/glaf035;
