Publication Type;Authors;Author Full Names;Title;Jurnal;Abstract;ORCIDs;ISSN;eISSN;ISBN;Publication Date;Publication_Year;Volume;Issue;Special Issue;Start Page;End Page;Article Number;DOI;DOI Link;UT (Unique WOS ID)
J;"Ngarambe, R; Sagahutu, JB; Nuhu, A; Tumusiime, DK";"Ngarambe, Robert; Sagahutu, Jean Baptiste; Nuhu, Assuman; Tumusiime, David K.";The status and use of prosthetic devices by persons with lower limb amputation in Rwanda;AFRICAN JOURNAL OF DISABILITY;Background: Amputation is one of the leading causes of disabilities because of reduced mobility. Without assistive devices specifically prostheses, the quality of life of persons with lower limb amputation (PLLA) further deteriorates. Therefore, prostheses are fundamental to improving their quality of life. Objectives: This study aimed to establish the number of PLLA with or without prosthesis and to determine their socio-economic profile in Rwanda. Method: A descriptive, cross-sectional study was conducted in all sectors of Rwanda. As a result of coronavirus disease 2019 movement restrictions, data collection was carried out through telephone calls with participants to complete the questionnaires. Descriptive, inferential statistics and chi-square test were performed to analyse data using Statistical Package for Social Science (SPSS) 21.0. Results: Of the 3026 participants identified countrywide, 68.8% were males and 60.3% of them did not have any prosthesis (p = 0.003). The majority (62.4%) of those who had prosthetic devices needed repair of their prostheses while 14.8% of participants reported that their prosthetic devices were completely broken and/or damaged (p = 0.604). Among the participants, 63.7% had no source of income and 66.7% had dependents (p <= 0.001). Conclusion: The majority of the PLLA in Rwanda did not have prosthetic devices and even those with prostheses did not fully function and thus required repair. Therefore, it adversely affects their livelihood. Contribution: The government should collaborate with stakeholders working with persons with disabilities and implement mechanisms and/or strategies to make prosthetic devices accessible and affordable.;;2223-9170;2226-7220;;DEC 9;2022;11;;;;;a1081;10.4102/ajod.v11i0.1081;http://dx.doi.org/10.4102/ajod.v11i0.1081;WOS:000905106800001
J;"Routhier, F; Ben Mortenson, W; Demers, L; Mahmood, A; Chaudhury, H; Ginis, KAM; Miller, WC";"Routhier, Francois; Ben Mortenson, W.; Demers, Louise; Mahmood, Atiya; Chaudhury, Habib; Ginis, Kathleen A. Martin; Miller, William C.";Mobility and Participation of People With Disabilities Using Mobility Assistive Technologies: Protocol for a Mixed-Methods Study;JMIR RESEARCH PROTOCOLS;Background: Many community-dwelling individuals living with a disability use mobility assistive technologies (MATs). MAT devices are generally beneficial for individuals with mobility impairments. However, less is known about the specific factors that may foster or deter mobility and community participation. Objective: The purpose of this protocol is to describe the methodology for a study including three main objectives: (1) to understand the places people using MAT go and the things they do, (2) to identify perceived barriers and facilitators as well as users' desired environmental modifications, and (3) to understand subjective and objective issues related to environmental accessibility. Methods: A mixed-methods study was conducted in Vancouver and in Quebec City. Qualitative interviews were conducted to address all three objectives. In addition, Objective 1 was achieved through collection of global positioning system (GPS) data and activity diaries with 36 participants per site who represented six types of MAT users (ie, cane, walker, crutches, manual wheelchair, power wheelchair, and scooter). All participants were invited to take part in all aspects of data collection. PhotoVoice was used to address Objectives 2 and 3. Two environmental audits were used to address Objective 2. The Stakeholders' Walkability/Wheelability Audit in Neighbourhood (SWAN) measured perceptions related to a variety of community environmental features associated with mobility and participation. A total of 24 participants were recruited to each study site for SWAN data collection. The Measure of Environmental Accessibility (MEA) was also used to objectively measure access to exterior and interior environments selected earlier in the project by the participants that could benefit from improvements. Results: Funding for this study was obtained from the Social Sciences and Humanities Research Council of Canada Approval was obtained from the University of British Columbia Research Ethics Board and the Centre integre universitaire de sante et de services sociaux de la Capitale-Nationale Research Ethics Board. Regarding the MEA evaluations, 19 locations (ie, buildings and exterior spaces) where obstacles have been identified by the participants of the PhotoVoice focus groups have been evaluated in Quebec City and 20 locations have been identified in the Vancouver region by the participants of the community forums. Data collection for this project was completed in December 2018. Analysis and writing of manuscripts are underway. Conclusions: The use of a variety of methods to gather data on participation and mobility will allow a more holistic consideration of factors influencing mobility with a MAT device. This study will provide objective information about the mobility of participants and identify barriers and facilitators that impact their mobility and community participation. Through the mixed-methods approach employed in this study, we will gain a subjective evaluation of the participants' neighborhoods, including personally meaningful information on environmental features that influence participants' everyday mobility and participation. We will also gain an objective evaluation of particular obstacles that community users of MAT identify as significant barriers to their ability to access public environments. We anticipate that these findings will help to identify a broad spectrum of solutions to improve the mobility and community participation of MAT users.;"Mortenson, W Ben/0000-0002-0183-6163; Miller, William/0000-0003-3060-0210; Chaudhury, Habib/0000-0001-5770-3776; Routhier, Francois/0000-0002-5458-6233; MARTIN GINIS, KATHLEEN/0000-0002-7076-3594";1929-0748;;;APR;2019;8;4;;;;e12089;10.2196/12089;http://dx.doi.org/10.2196/12089;WOS:000466496800035
J;"Naidoo, V; Putnam, M; Spindel, A";"Naidoo, Vishaya; Putnam, Michelle; Spindel, Andria";Key focal areas for bridging the fields of aging and disability: findings from the growing older with a disability conference;INTERNATIONAL JOURNAL OF INTEGRATED CARE;Based upon research presented at the 2011 Festival of International Conferences on Caregiving, Disability, Aging and Technology (FICCDAT)-and specifically the Growing Older with a Disability (GOWD) conference, this paper identifies areas where bridging building between aging and disability is needed to support older adults aging into or with disabilities. Five focal areas emerged: 1) The Need to Forward Bridging Between Aging and Disability Sectors, 2) Theoretical Frameworks of Individual Aging that Facilitate Bridging, 3) Bridging through Consumer Participation and Involvement, 4) Bridging Through Knowledge Transfer and 5) Bridging Opportunities in Long-Term Supports and Services and Assistive Technologies. Discussion of themes is provided within both international and Canadian contexts, reflecting the interests of FICCDAT and GOWD organizers in discussing how to improve bridging in Canada. Findings from this report form the basis of the Toronto Declaration on Bridging Aging and Disability Policy, Practice, and Research.;;1568-4156;;;OCT-DEC;2012;12;;;;;;;;WOS:000311842300008
J;"Chaplin, E; Barnes, A; Newby, C; Houchen-Wolloff, L; Singh, SJ";"Chaplin, Emma; Barnes, Amy; Newby, Chris; Houchen-Wolloff, Linzy; Singh, Sally J.";Comparison of the Impact of Conventional and Web-Based Pulmonary Rehabilitation on Physical Activity in Patients With Chronic Obstructive Pulmonary Disease: Exploratory Feasibility Study;JMIR REHABILITATION AND ASSISTIVE TECHNOLOGIES;"Background: Pulmonary Rehabilitation (PR) increases exercise capacity, with less clear evidence regarding physical activity (PA). The World Health Organization recommends at least 150-300 minutes of moderate -intensity or 75-150 minutes of vigorous -intensity aerobic PA per week to reduce the risks of chronic disease. Objective: The objective of this study was to assess the effectiveness of conventional PR versus web -based PR with respect to changes in PA. Methods: Patients with COPD were randomized to either conventional PR classes (n=51) or a web -based PR program (n=52) for 7 weeks in a feasibility study. Accelerometers (Sensewear) were worn before and after the intervention, and PA was measured as steps per day and mean bouts of moderate activity for >= 2, >= 5, >= 10, and >= 20 minutes. Measures were derived for patients with >= 8 hours of data per day for >= 4 days, using the R package for statistical analysis. Variables were explored to examine their relationships with bouts of activity. Results: Baseline characteristics did not differ significantly between groups. Complete PA data were available for the groups receiving web -based (n=20) and conventional (n=34) PR interventions. The web -based PR group demonstrated a nonsignificant increase in the number of steps per day, which mainly comprised short bouts of moderate to vigorous intensity PA when compared to the conventional PR group (P=.20). The conventional PR group demonstrated increased 20 -minute bouts of PA by 49.1%, although this was not significant (P=.07). At baseline, age (r=-0.21, P=.04), BMI (r=-0.311, P=.004), and FEV1(forced expiratory volume in 1 second; % predicted; r=-0.248, P=.048) were significantly correlated with 10 -minute bouts of PA; however, this was not observed post intervention. Conclusions: The analysis revealed a nonsignificant difference in the pattern of PA between groups receiving conventional vs web -based PR-the former being associated with an increase in 20 -minute bouts, while the latter having demonstrated an increase in the number of steps per day. There appears to be a differing response emerging between the two interventions.";"Newby, Chris/0000-0002-2936-8592; Chaplin, Emma/0000-0003-0981-2980; Houchen-Wolloff, Linzy/0000-0003-4940-8835";;2369-2529;;JAN-MAR;2022;9;1;;;;e28875;10.2196/28875;http://dx.doi.org/10.2196/28875;WOS:001207095800003
J;"Rosenthal, O; Wing, AM; Wyatt, JL; Punt, D; Miall, RC";"Rosenthal, Orna; Wing, Alan M.; Wyatt, Jeremy L.; Punt, David; Miall, R. Chris";Mapping upper-limb motor performance after stroke - a novel method with utility for individualized motor training;JOURNAL OF NEUROENGINEERING AND REHABILITATION;Background: Chronic upper limb motor impairment is a common outcome of stroke. Therapeutic training can reduce motor impairment. Recently, a growing interest in evaluating motor training provided by robotic assistive devices has emerged. Robot-assisted therapy is attractive because it provides a means of increasing practice intensity without increasing the workload of physical therapists. However, movements practised through robotic assistive devices are commonly pre-defined and fixed across individuals. More optimal training may result from individualizing the selection of the trained movements based on the individual's impairment profile. This requires quantitative assessment of the degree of the motor impairment prior to training, in relevant movement tasks. However, standard clinical measures for profiling motor impairment after stroke are often subjective and lack precision. We have developed a novel robot-mediated method for systematic and fine-grained mapping (or profiling) of individual performance across a wide range of planar arm reaching movements. Here we describe and demonstrate this mapping method and its utilization for individualized training. We also present a novel principle for the individualized selection of training movements based on the performance maps. Methods and Results: To demonstrate the utility of our method we present examples of 2D performance maps produced from the kinetic and kinematics data of two individuals with stroke-related upper limb hemiparesis. The maps outline distinct regions of high motor impairment. The procedure of map-based selection of training movements and the change in motor performance following training is demonstrated for one participant. Conclusions: The performance mapping method is feasible to produce (online or offline). The 2D maps are easy to interpret and to be utilized for selecting individual performance-based training. Different performance maps can be easily compared within and between individuals, which potentially has diagnostic utility.;"Punt, David/0000-0003-2384-3193; Wing, Alan/0000-0002-2623-3801";1743-0003;;;DEC 6;2017;14;;;;;127;10.1186/s12984-017-0335-x;http://dx.doi.org/10.1186/s12984-017-0335-x;WOS:000417076800001
J;Freckmann, G;Freckmann, G.;New technologies in diabetology. How far are we from a closed loop?;INTERNIST;Today, assistive technologies are highly important in the treatment of diabetes, especially in the therapy of type 1 diabetes. The use of insulin pumps, for example, has become an established form of treatment. Modern insulin pumps offer various functions, such as different basal rate profiles, split delivery of the meal bolus, and integrated bolus calculators. Some pumps are additionally connected to a blood glucose meter or a continuous glucose-monitoring sensor. Several minimally invasive needle-type sensor systems for continuous tissue glucose monitoring are already available. Recent developments aim at increasing the functionality of insulin pumps and the improvements of sensors for continuous glucose monitoring. In addition, many research groups are working on closing the loop between these two components and thus developing an artificial pancreas, which automatically regulates insulin delivery. The first steps have already been taken and bolus calculators or sensor-augmented insulin pumps with suspension of insulin delivery are now available. Many experimental models show promising results. Prior to the implementation of a fully automated system for everyday use, however, partially automated systems that require user input are to be expected. This article aims at giving an overview of the current state of development in the field of diabetes technology.;Freckmann, Guido/0000-0002-0406-9529;0020-9554;1432-1289;;MAY;2015;56;5;;484;492;;10.1007/s00108-014-3627-2;http://dx.doi.org/10.1007/s00108-014-3627-2;WOS:000353785200003
J;"Sarsak, HI; Kamadu, A; Pearlman, J; Goldberg, M; Kandavel, K; Augustine, N";"Sarsak, Hassan Izzeddin; Kamadu, Alex; Pearlman, Jonathan; Goldberg, Mary; Kandavel, Krithika; Augustine, Nancy";A perspective on occupational therapy and assistive technology: Research, contributions, challenges and global initiatives;WORLD FEDERATION OF OCCUPATIONAL THERAPISTS BULLETIN;Many occupational therapists are skilled assistive technology practitioners and provide a variety of services to assistive technology users and their families through their use of intervention models that integrate the client, occupation and environment. Occupational therapy education, translation of current research into practice and clinical competency ensure that assistive technology users can enjoy accessing their community and environment independently, safely, adequately, and freely. This white paper illustrates the role of occupational therapists in the provision of assistive technology devices to promote better understanding of facilitators and challenges affecting the provision of assistive technology globally. It also reviews literature and discusses positions of professional organizations. Finally, we summarize global efforts, recommendations and strategies to build collaborative partnerships, develop innovative service models, use best available evidence, advocate for supportive public policy, promote occupational therapy services and professional development relating to assistive technology provision, and increase access to affordable, quality assistive technologies worldwide.;Sarsak, Hassan Izzeddin/0000-0001-6865-9010;1447-3828;2056-6077;;JUL 3;2023;79;2;;118;126;;10.1080/14473828.2023.2196794;http://dx.doi.org/10.1080/14473828.2023.2196794;WOS:000984859500001
J;"Smith, EM; Ebuenyi, ID; Kafumba, J; Jamali-Phiri, M; MacLachlan, M; Munthali, A";"Smith, Emma M.; Ebuenyi, Ikenna D.; Kafumba, Juba; Jamali-Phiri, Monica; MacLachlan, Malcolm; Munthali, Alister";An overview of assistive technology products and services provided in Malawi;DISABILITY AND REHABILITATION-ASSISTIVE TECHNOLOGY;Background Assistive technology is the products and services used by individuals with functional limitations to enable participation in society and realisation of rights afforded by the United Nations Convention on the Rights of Persons with Disabilities. The Assistive Product List is a comprehensive list of products identified as essential for access through universal health coverage. Key stakeholders, including organisations of persons with disabilities, civil service organisations, academic organisations and government ministries are collaborating to integrate assistive technology into policy and develop a priority assistive products list for Malawi. Objective To understand the organisational characteristics of, and assistive products provided by, key stakeholders working in AT in Malawi. Study Design Online survey of representatives from key stakeholder organisations. Methods We surveyed representatives of key stakeholder organisations to gather information regarding assistive technology product and service provision in Malawi. Responses were analysed using counts for closed-ended questions, and conventional content analysis for open-ended questions. Results A total of 36 of the 50 APL products were provided by eight organisations. Related services were provided for 36 of the 50 APL products by twelve organisations. Five organisations reported providing both products and services. Products and services are largely funded by donation and provided free to those who require them. Conclusion A range of organisations in Malawi play a role in assistive product delivery and related services. Coordinated AP delivery and service provision is required at a national level which is sustainable and inclusive, and is based on identified needs of the Malawian population.;"Kafumba Ngongondo, Juba/0000-0003-3142-7325; Munthali, Alister/0000-0002-3495-3446; Ebuenyi, Ikenna/0000-0002-3329-6296; Smith, Emma/0000-0003-2541-5723";1748-3107;1748-3115;;MAY 19;2023;18;4;;387;391;;10.1080/17483107.2020.1854356;http://dx.doi.org/10.1080/17483107.2020.1854356;WOS:000597364300001
J;"Kling, A; Campbell, PH; Wilcox, J";"Kling, Adria; Campbell, Philippa H.; Wilcox, Jeanne";Young Children With Physical Disabilities Caregiver Perspectives About Assistive Technology;INFANTS & YOUNG CHILDREN;Caregiver reports of problematic activities/routines with their young children with physical disabilities and types of assistive technology used as solutions were investigated in this study. In addition, caregiver competence with assistive technology use and ways in which caregivers received information and training were also examined. A subset of 164 caregivers who identified their children as having physical disabilities was retrieved from an archived database and used for analysis. Results indicated that children experienced various problems when participating in daily activities/routines. An average of 60.4% of their caregivers found solutions to these problems and 64.5% of these solutions involved the use of assistive technology. Only a small percent (13.4%) of caregivers reported feeling very competent at using assistive technology and 68.2% of those had received information from an early intervention provider. This research exemplifies the importance of both using assistive technology interventions for children with physical disabilities and ensuring that early intervention providers are sufficiently knowledgeable to train caregivers so that their children gain maximal opportunities to participate and learn.;;0896-3746;1550-5081;;JUL-SEP;2010;23;3;;169;183;;10.1097/IYC.0b013e3181e1a873;http://dx.doi.org/10.1097/IYC.0b013e3181e1a873;WOS:000278538400001
J;"Cohen, LJ; Perling, R";"Cohen, Laura J.; Perling, Rhonda";Barriers to Mobility Device Access Implications for Policies and Practices of Assistive Technology Reutilization Programs;TOPICS IN GERIATRIC REHABILITATION;This report summarizes the findings of a study used to identify barriers people in Atlanta, Georgia, and the surrounding metropolitan area encounter when seeking new mobility devices. A convenience sample of 49 volunteers requesting equipment and services from an assistive technology reuse program was surveyed. Structured interviews were conducted with each subject or family/caregiver to (1) identify reasons for approaching assistive technology reuse programs for mobility devices, (2) identify barriers to mobility device access through traditional third party payer benefits, (3) identify barriers to acquiring mobility devices, and (4) identify barriers to acquiring mobility-related clinical services. Respondents were asked about personal characteristics, including disability, current technology, devices and/or services sought, and functional impact of unmet need(s). The results were used to identify common policy and process barriers consumers/families encounter and to identify opportunities for education and outreach for consumers and referring medical professionals.;;0882-7524;1550-2414;;JAN-MAR;2015;31;1;;19;25;;10.1097/TGR.0000000000000047;http://dx.doi.org/10.1097/TGR.0000000000000047;WOS:000347954700004
